Name,Team,Division,Bats,Throws,Born,Age,Position,League,Div
Andruw Monasterio,MIL,NL Central,R,R,VEN,28,SS,NL,Central
Nick Anderson,COL,NL West,R,R,USA,35,RP,NL,West
Andre Pallante,STL,NL Central,R,R,USA,26,SP,NL,Central
Andrew Nardi,MIA,NL East,L,L,USA,26,SP,NL,East
Grant Anderson,MIL,NL Central,R,R,USA,28,RP,NL,Central
Andrés Chaparro,WSH,NL East,R,R,VEN,26,1B,NL,East
Andrew Saalfrank,AZ,NL West,L,L,USA,27,RP,NL,West
Andrew Walters,CLE,AL Central,R,R,USA,24,RP,AL,Central
Andre Granillo,STL,NL Central,R,R,USA,25,RP,NL,Central
Angel Martínez,CLE,AL Central,S,R,DOM,23,CF,AL,Central
Angel Zerpa,KC,AL Central,L,L,VEN,25,RP,AL,Central
Angel Chivilli,COL,NL West,R,R,DOM,23,RP,NL,West
Angel Bastardo,TOR,AL East,R,R,VEN,23,SP,AL,East
Jonathan Aranda,TB,AL East,L,R,MEX,27,1B,AL,East
Orlando Arcia,COL,NL West,R,R,VEN,30,SS,NL,West
Nolan Arenado,STL,NL Central,R,R,USA,34,3B,NL,Central
Gabriel Arias,CLE,AL Central,R,R,VEN,25,SS,AL,Central
Michael Arias,NYY,AL East,R,R,DOM,23,SP,AL,East
Shawn Armstrong,TEX,AL West,R,R,USA,34,RP,AL,West
Aroldis Chapman,BOS,AL East,L,L,CUB,37,RP,AL,East
Randy Arozarena,SEA,AL West,R,R,CUB,30,LF,AL,West
Luis Arraez,SD,NL West,L,R,VEN,28,1B,NL,West
Spencer Arrighetti,HOU,AL West,R,R,USA,25,SP,AL,West
Graham Ashcraft,CIN,NL Central,L,R,USA,27,RP,NL,Central
Braxton Ashcraft,PIT,NL Central,L,R,USA,25,RP,NL,Central
Javier Assad,CHC,NL Central,R,R,MEX,28,SP,NL,Central
Austin Riley,ATL,NL East,R,R,USA,28,3B,NL,East
Austin Slater,NYY,AL East,R,R,USA,32,LF,AL,East
Austin Hays,CIN,NL Central,R,R,USA,30,LF,NL,Central
Austin Nola,COL,NL West,R,R,USA,35,C,NL,West
Austin Wynns,ATH,AL West,R,R,USA,34,C,AL,West
Austin Wells,NYY,AL East,L,R,USA,26,C,AL,East
Austin Gomber,COL,NL West,L,L,USA,31,SP,NL,West
Austin Martin,MIN,AL Central,R,R,USA,26,CF,AL,Central
Austin Warren,NYM,NL East,R,R,USA,29,RP,NL,East
Austin Cox,ATL,NL East,L,L,USA,28,RP,NL,East
Luinder Avila,KC,AL Central,R,R,VEN,23,SP,AL,Central
Lake Bachar,MIA,NL East,R,R,USA,30,RP,NL,East
Sam Bachman,LAA,AL West,R,R,USA,25,RP,AL,West
Kyle Backhus,AZ,NL West,L,L,USA,27,RP,NL,West
Harrison Bader,PHI,NL East,R,R,USA,31,LF,NL,East
Javier Báez,DET,AL Central,R,R,PRI,32,CF,AL,Central
Ji Hwan Bae,PIT,NL Central,L,R,KOR,26,CF,NL,Central
Henry Baez,ATH,AL West,R,R,DOM,22,SP,AL,West
Patrick Bailey,SF,NL West,S,R,USA,26,C,NL,West
Bailey Falter,KC,AL Central,R,L,USA,28,SP,AL,Central
Bailey Ober,MIN,AL Central,R,R,USA,30,SP,AL,Central
Bailey Horn,DET,AL Central,L,L,USA,27,RP,AL,Central
Bryan Baker,TB,AL East,R,R,USA,30,RP,AL,East
Luken Baker,STL,NL Central,R,R,USA,28,1B,NL,Central
Darren Baker,WSH,NL East,L,R,USA,26,2B,NL,East
Drake Baldwin,ATL,NL East,L,R,USA,24,C,NL,East
Brooks Baldwin,CWS,AL Central,S,R,USA,24,LF,AL,Central
Moisés Ballesteros,CHC,NL Central,L,R,VEN,21,C,NL,Central
Anthony Banda,LAD,NL West,L,L,USA,31,RP,NL,West
Tanner Banks,PHI,NL East,R,L,USA,33,RP,NL,East
Scott Barlow,CIN,NL Central,R,R,USA,32,RP,NL,Central
