Name,Team,Division,Bats,Throws,Born,Age,Position,League,Div
Garrett Cleavinger,TB,AL East,R,L,USA,31,RP,AL,East
Coby Mayo,BAL,AL East,R,R,USA,23,1B,AL,East
Codi Heuer,DET,AL Central,R,R,USA,29,RP,AL,Central
Cody Poteet,BAL,AL East,R,R,USA,31,RP,AL,East
Cody Freeman,TEX,AL West,R,R,USA,24,3B,AL,West
Colt Keith,DET,AL Central,L,R,USA,23,2B,AL,Central
Colton Cowser,BAL,AL East,L,R,USA,25,LF,AL,East
Cole Sulser,TB,AL East,R,R,USA,35,RP,AL,East
Colin Holderman,PIT,NL Central,R,R,USA,29,RP,NL,Central
Collin Snider,SEA,AL West,R,R,USA,29,RP,AL,West
Cole Sands,MIN,AL Central,R,R,USA,28,RP,AL,Central
Colin Rea,CHC,NL Central,R,R,USA,35,SP,NL,Central
Isaac Collins,MIL,NL Central,S,R,USA,28,LF,NL,Central
Cole Ragans,KC,AL Central,L,L,USA,27,SP,AL,Central
Cole Young,SEA,AL West,L,R,USA,22,2B,AL,West
Cole Henry,WSH,NL East,R,R,USA,26,RP,NL,East
Colin Selby,BAL,AL East,R,R,USA,27,RP,AL,East
Colson Montgomery,CWS,AL Central,L,R,USA,23,SS,AL,Central
Cole Winn,TEX,AL West,R,R,USA,25,RP,AL,West
Colby Thomas,ATH,AL West,R,R,USA,24,RF,AL,West
Colton Gordon,HOU,AL West,L,L,USA,26,SP,AL,West
Willson Contreras,STL,NL Central,R,R,VEN,33,1B,NL,Central
William Contreras,MIL,NL Central,R,R,VEN,27,C,NL,Central
Connor Joe,CIN,NL Central,R,R,USA,32,RF,NL,Central
Connor Wong,BOS,AL East,R,R,USA,29,C,AL,East
Connor Norby,MIA,NL East,R,R,USA,25,3B,NL,East
Griffin Conine,MIA,NL East,L,R,USA,28,LF,NL,East
Connor Seabold,TB,AL East,R,R,USA,29,RP,AL,East
Connor Kaiser,AZ,NL West,R,R,USA,28,SS,NL,West
Luis Contreras,HOU,AL West,R,R,VEN,29,RP,AL,West
Connor Thomas,MIL,NL Central,L,L,USA,27,RP,NL,Central
Connor Phillips,CIN,NL Central,R,R,USA,24,RP,NL,Central
Cooper Hummel,HOU,AL West,S,R,USA,30,LF,AL,West
Cooper Criswell,BOS,AL East,R,R,USA,29,RP,AL,East
Corey Seager,TEX,AL West,L,R,USA,31,SS,AL,West
Patrick Corbin,TEX,AL West,L,L,USA,36,SP,AL,West
Corey Julks,CWS,AL Central,R,R,USA,29,LF,AL,Central
Nestor Cortes,SD,NL West,R,L,CUB,30,SP,NL,West
Corbin Martin,BAL,AL East,R,R,USA,29,RP,AL,East
Kenedy Corona,HOU,AL West,R,R,VEN,25,CF,AL,West
Jose Corniell,TEX,AL West,R,R,DOM,22,SP,AL,West
Tom Cosgrove,CHC,NL Central,L,L,USA,29,RP,NL,Central
Danny Coulombe,TEX,AL West,L,L,USA,35,RP,AL,West
Jake Cousins,NYY,AL East,R,R,USA,31,SP,AL,East
J.P. Crawford,SEA,AL West,L,R,USA,30,SS,AL,West
Kutter Crawford,BOS,AL East,R,R,USA,29,SP,AL,East
Craig Yoho,MIL,NL Central,R,R,USA,25,RP,NL,Central
Dylan Crews,WSH,NL East,R,R,USA,23,RF,NL,East
Cristian Javier,HOU,AL West,R,R,DOM,28,SP,AL,West
Cristopher Sánchez,PHI,NL East,L,L,DOM,28,SP,NL,East
Blaine Crim,TEX,AL West,R,R,USA,28,1B,AL,West
Jeff Criswell,COL,NL West,R,R,USA,26,SP,NL,West
Cristian Mena,AZ,NL West,R,R,DOM,22,RP,NL,West
Jake Cronenworth,SD,NL West,L,R,USA,31,2B,NL,West
Pete Crow-Armstrong,CHC,NL Central,L,L,USA,23,CF,NL,Central
Garrett Crochet,BOS,AL East,L,L,USA,26,SP,AL,East
Declan Cronin,MIA,NL East,R,R,USA,27,SP,NL,East
Oneil Cruz,PIT,NL Central,L,R,DOM,26,CF,NL,Central
Fernando Cruz,NYY,AL East,R,R,PRI,35,RP,AL,East
Steven Cruz,KC,AL Central,R,R,DOM,26,RP,AL,Central
Omar Cruz,SD,NL West,L,L,MEX,26,RP,NL,West
John Curtiss,AZ,NL West,R,R,USA,32,RP,NL,West
Curtis Mead,CWS,AL Central,R,R,AUS,24,1B,AL,Central
Luis Curvelo,TEX,AL West,R,R,VEN,24,RP,AL,West
Yoniel Curet,TB,AL East,R,R,DOM,22,SP,AL,East
Dairon Blanco,KC,AL Central,R,R,CUB,32,CF,AL,Central
Dalton Rushing,LAD,NL West,L,R,USA,24,C,NL,West
Danny Jansen,MIL,NL Central,R,R,USA,30,C,NL,Central
Daniel Schneemann,CLE,AL Central,L,R,USA,28,2B,AL,Central
Dane Myers,MIA,NL East,R,R,USA,29,CF,NL,East
Dane Dunning,ATL,NL East,R,R,USA,30,RP,NL,East
Daniel Lynch IV,KC,AL Central,L,L,USA,28,RP,AL,Central
Daniel Johnson,SF,NL West,L,L,USA,30,CF,NL,West
Daniel Palencia,CHC,NL Central,R,R,VEN,25,RP,NL,Central
Danny Young,NYM,NL East,L,L,USA,31,RP,NL,East
Daniel Robert,PHI,NL East,L,R,USA,30,RP,NL,East
Davis Daniel,ATL,NL East,R,R,USA,28,SP,NL,East
Daniel Espino,CLE,AL Central,R,R,PAN,24,SP,AL,Central
Yu Darvish,SD,NL West,R,R,JPN,38,SP,NL,West
Darell Hernaiz,ATH,AL West,R,R,PRI,23,3B,AL,West
Michael Darrell-Hicks,PIT,NL Central,R,R,USA,27,RP,NL,Central
Dugan Darnell,COL,NL West,L,R,USA,28,SP,NL,West
DaShawn Keirsey Jr.,MIN,AL Central,L,L,USA,28,CF,AL,Central
Daulton Varsho,TOR,AL East,L,R,USA,29,CF,AL,East
Dauri Moreta,PIT,NL Central,R,R,DOM,29,SP,NL,Central
David Fry,CLE,AL Central,R,R,USA,29,1B,AL,Central
Davis Schneider,TOR,AL East,R,R,USA,26,LF,AL,East
David Hamilton,BOS,AL East,L,R,USA,27,2B,AL,East
Henry Davis,PIT,NL Central,R,R,USA,25,C,NL,Central
David Peterson,NYM,NL East,L,L,USA,29,SP,NL,East
Logan Davidson,HOU,AL West,S,R,USA,27,1B,AL,West
Davis Martin,CWS,AL Central,L,R,USA,28,SP,AL,Central
Noah Davis,MIN,AL Central,R,R,USA,28,RP,AL,Central
David Festa,MIN,AL Central,R,R,USA,25,SP,AL,Central
David Morgan,SD,NL West,R,R,USA,25,RP,NL,West
Dax Fulton,MIA,NL East,L,L,USA,23,SP,NL,East
Daysbel Hernández,ATL,NL East,R,R,CUB,28,RP,NL,East
Daylen Lile,WSH,NL East,L,R,USA,22,RF,NL,East
Dean Kremer,BAL,AL East,R,R,USA,29,SP,AL,East
Dedniel Núñez,NYM,NL East,R,R,DOM,29,RP,NL,East
Jacob deGrom,TEX,AL West,L,R,USA,37,SP,AL,West
Paul DeJong,WSH,NL East,R,R,USA,31,3B,NL,East
Dennis Santana,PIT,NL Central,R,R,DOM,29,RP,NL,Central
Derek Law,WSH,NL East,R,R,USA,34,SP,NL,East
Derek Hill,MIA,NL East,R,R,USA,29,CF,NL,East
Anthony DeSclafani,AZ,NL West,R,R,USA,35,RP,NL,West
Reid Detmers,LAA,AL West,L,L,USA,26,RP,AL,West
Rafael Devers,SF,NL West,L,R,DOM,28,DH,NL,West
Devin Williams,NYY,AL East,R,R,USA,30,RP,AL,East
Devin Sweet,PHI,NL East,S,R,USA,28,SP,NL,East
Deyvison De Los Santos,MIA,NL East,R,R,DOM,22,3B,NL,East
Zach Dezenzo,HOU,AL West,R,R,USA,25,LF,AL,West
Yandy Díaz,TB,AL East,R,R,CUB,33,1B,AL,East
Elias Díaz,SD,NL West,R,R,VEN,34,C,NL,West
Edwin Díaz,NYM,NL East,R,R,PRI,31,RP,NL,East
Yainer Diaz,HOU,AL West,R,R,DOM,26,C,AL,West
Jhonathan Díaz,SEA,AL West,L,L,VEN,28,RP,AL,West
Yilber Díaz,AZ,NL West,R,R,VEN,24,RP,NL,West
Didier Fuentes,ATL,NL East,R,R,COL,20,SP,NL,East
Dietrich Enns,BAL,AL East,L,L,USA,34,RP,AL,East
Dillon Dingler,DET,AL Central,R,R,USA,26,C,AL,Central
DJ Herz,WSH,NL East,R,L,USA,24,SP,NL,East
DL Hall,MIL,NL Central,L,L,USA,26,RP,NL,Central
Hunter Dobbins,BOS,AL East,R,R,USA,25,SP,AL,East
Dylan Dodd,ATL,NL East,L,L,USA,27,RP,NL,East
Dominic Smith,SF,NL West,L,L,USA,30,1B,NL,West
Seranthony Domínguez,TOR,AL East,R,R,DOM,30,RP,AL,East
Dom Nuñez,CLE,AL Central,L,R,USA,30,C,AL,Central
Jasson Domínguez,NYY,AL East,S,R,DOM,22,LF,AL,East
Domingo Gonzalez,ATL,NL East,R,R,DOM,25,SP,NL,East
Donovan Solano,SEA,AL West,R,R,COL,37,1B,AL,West
Doug Nikhazy,CLE,AL Central,L,L,USA,25,SP,AL,Central
Camilo Doval,NYY,AL East,R,R,DOM,28,RP,AL,East
Drew Pomeranz,CHC,NL Central,R,L,USA,36,RP,NL,Central
Drew Waters,KC,AL Central,S,R,USA,26,LF,AL,Central
Drew Smith,NYM,NL East,R,R,USA,31,SP,NL,East
Drew Rasmussen,TB,AL East,R,R,USA,30,SP,AL,East
Drew Millas,WSH,NL East,S,R,USA,27,C,NL,East
Drew Romo,COL,NL West,S,R,USA,23,C,NL,West
Jack Dreyer,LAD,NL West,R,L,USA,26,RP,NL,West
Drey Jameson,AZ,NL West,R,R,USA,27,RP,NL,West
Drew Thorpe,CWS,AL Central,L,R,USA,24,SP,AL,Central
Logan Driscoll,TB,AL East,L,R,USA,27,C,AL,East
Mauricio Dubón,HOU,AL West,R,R,HND,31,2B,AL,West
Shawn Dubin,HOU,AL West,R,R,USA,29,RP,AL,West
Oliver Dunn,MIL,NL Central,L,R,USA,27,3B,NL,Central
Blake Dunn,CIN,NL Central,R,R,USA,26,RF,NL,Central
Jarren Duran,BOS,AL East,L,R,USA,28,LF,AL,East
Ezequiel Duran,TEX,AL West,R,R,DOM,26,SS,AL,West
Jhoan Duran,PHI,NL East,R,R,DOM,27,RP,NL,East
Dustin May,BOS,AL East,R,R,USA,27,SP,AL,East
Dustin Harris,TEX,AL West,L,R,USA,26,LF,AL,West
Dylan Moore,SEA,AL West,R,R,USA,32,2B,AL,West
Dylan Lee,ATL,NL East,L,L,USA,31,RP,NL,East
Dylan Smith,DET,AL Central,R,R,USA,25,RP,AL,Central
Easton Lucas,TOR,AL East,L,L,USA,28,SP,AL,East
Easton McGee,MIL,NL Central,R,R,USA,27,RP,NL,Central
Nate Eaton,BOS,AL East,R,R,USA,28,3B,AL,East
Jake Eder,WSH,NL East,L,L,USA,26,RP,NL,East
Edgar Quero,CWS,AL Central,S,R,CUB,22,C,AL,Central
Edgardo Henriquez,LAD,NL West,R,R,VEN,23,RP,NL,West
Edouard Julien,MIN,AL Central,L,R,CAN,26,2B,AL,Central
Eduardo Rodriguez,AZ,NL West,L,L,VEN,32,SP,NL,West
Eduardo Salazar,WSH,NL East,R,R,VEN,27,RP,NL,East
Eduarniel Núñez,ATH,AL West,R,R,DOM,26,RP,AL,West
Xavier Edwards,MIA,NL East,S,R,USA,25,SS,NL,East
Edwin Uceta,TB,AL East,R,R,DOM,27,RP,AL,East
Zach Eflin,BAL,AL East,R,R,USA,31,SP,AL,East
Joe Elbis,AZ,NL West,R,R,VEN,22,SP,NL,West
Eli White,ATL,NL East,R,R,USA,31,RF,NL,East
Eli Morgan,CHC,NL Central,R,R,USA,29,RP,NL,Central
Tim Elko,CWS,AL Central,R,R,USA,26,1B,AL,Central
Elly De La Cruz,CIN,NL Central,S,R,DOM,23,SS,NL,Central
Fraser Ellard,CWS,AL Central,L,L,USA,27,RP,AL,Central
Elvis Peguero,MIL,NL Central,R,R,DOM,28,RP,NL,Central
Elvin Rodríguez,BAL,AL East,R,R,DOM,27,RP,AL,East
Emerson Hancock,SEA,AL West,R,R,USA,26,SP,AL,West
Emilio Pagán,CIN,NL Central,L,R,USA,34,RP,NL,Central
Emiliano Teodo,TEX,AL West,R,R,DOM,24,SP,AL,West
Emmet Sheehan,LAD,NL West,R,R,USA,25,SP,NL,West
Emmanuel Rodriguez,MIN,AL Central,L,L,DOM,22,CF,AL,Central
Jerar Encarnacion,SF,NL West,R,R,DOM,27,RF,NL,West
Endy Rodríguez,PIT,NL Central,S,R,DOM,25,1B,NL,Central
Mason Englert,TB,AL East,S,R,USA,25,RP,AL,East
Tristin English,AZ,NL West,R,R,USA,28,OF,NL,West
Enmanuel Valdez,PIT,NL Central,L,R,DOM,26,1B,NL,Central
Enrique Hernández,LAD,NL West,R,R,PRI,33,1B,NL,West
Nic Enright,CLE,AL Central,R,R,USA,28,RP,AL,Central
Enyel De Los Santos,ATL,NL East,R,R,DOM,29,RP,NL,East
Nathan Eovaldi,TEX,AL West,R,R,USA,35,SP,AL,West
Erasmo Ramírez,MIN,AL Central,R,R,NIC,35,SP,AL,Central
Lucas Erceg,KC,AL Central,L,R,USA,30,RP,AL,Central
Erick Fedde,ATL,NL East,R,R,USA,32,SP,NL,East
Eric Lauer,TOR,AL East,R,L,USA,30,SP,AL,East
Eric Wagaman,MIA,NL East,R,R,USA,27,1B,NL,East
Erik Miller,SF,NL West,L,L,USA,27,RP,NL,West
Eric Orze,TB,AL East,R,R,USA,27,RP,AL,East
Erik Sabrowski,CLE,AL Central,R,L,CAN,27,RP,AL,Central
J.C. Escarra,NYY,AL East,L,R,USA,30,C,AL,East
Santiago Espinal,CIN,NL Central,R,R,DOM,30,3B,NL,Central
Thairo Estrada,COL,NL West,R,R,VEN,29,2B,NL,West
Esteury Ruiz,LAD,NL West,R,R,DOM,26,LF,NL,West
Jeremiah Estrada,SD,NL West,S,R,USA,26,RP,NL,West
Joey Estes,ATH,AL West,R,R,USA,23,SP,AL,West
Lazaro Estrada,TOR,AL East,R,R,CUB,26,RP,AL,East
Ethan Roberts,CHC,NL Central,R,R,USA,28,RP,NL,Central
Eugenio Suárez,SEA,AL West,R,R,VEN,34,3B,AL,West
Eury Pérez,MIA,NL East,R,R,DOM,22,SP,NL,East
Evan Phillips,LAD,NL West,R,R,USA,30,RP,NL,West
Evan Sisk,PIT,NL Central,L,L,USA,28,RP,NL,Central
Logan Evans,SEA,AL West,R,R,USA,24,SP,AL,West
Everson Pereira,TB,AL East,R,R,VEN,24,CF,AL,East
Ezequiel Tovar,COL,NL West,R,R,VEN,24,SS,NL,West
Stuart Fairchild,TB,AL East,R,R,USA,29,RF,AL,East
Pete Fairbanks,TB,AL East,R,R,USA,31,RP,AL,East
Kyle Farmer,COL,NL West,R,R,USA,34,2B,NL,West
Hunter Feduccia,TB,AL East,L,R,USA,28,C,AL,East
Ryan Feltner,COL,NL West,R,R,USA,28,SP,NL,West
Freddy Fermin,SD,NL West,R,R,VEN,30,C,NL,West
José Fermín,STL,NL Central,R,R,DOM,26,2B,NL,Central
Jose A. Ferrer,WSH,NL East,L,L,DOM,25,RP,NL,East
Tyler Ferguson,ATH,AL West,R,R,USA,31,RP,AL,West
Ryan Fernandez,STL,NL Central,R,R,USA,27,RP,NL,Central
Yanquiel Fernández,COL,NL West,L,L,CUB,22,RF,NL,West
José Fermin,LAA,AL West,R,R,DOM,23,RP,AL,West
Julian Fernández,LAD,NL West,R,R,DOM,29,RP,NL,West
Matt Festa,CLE,AL Central,R,R,USA,32,RP,AL,Central
Kyle Finnegan,DET,AL Central,R,R,USA,33,RP,AL,Central
Tyler Fitzgerald,SF,NL West,R,R,USA,27,2B,NL,West
Ryan Fitzgerald,MIN,AL Central,L,R,USA,31,3B,AL,Central
Richard Fitts,BOS,AL East,R,R,USA,25,SP,AL,East
Jack Flaherty,DET,AL Central,R,R,USA,29,SP,AL,Central
Wilmer Flores,SF,NL West,R,R,VEN,33,1B,NL,West
Mason Fluharty,TOR,AL East,R,L,USA,23,RP,AL,East
Jason Foley,DET,AL Central,R,R,USA,29,SP,AL,Central
Nick Fortes,TB,AL East,R,R,USA,28,C,AL,East
Justin Foscue,TEX,AL West,R,R,USA,26,1B,AL,West
Ty France,TOR,AL East,R,R,USA,31,1B,AL,East
Jake Fraley,CIN,NL Central,L,L,USA,30,RF,NL,Central
Framber Valdez,HOU,AL West,R,L,DOM,31,SP,AL,West
Frankie Montas,NYM,NL East,R,R,DOM,32,SP,NL,East
J.P. France,HOU,AL West,R,R,USA,30,SP,AL,West
Nick Frasso,LAD,NL West,R,R,USA,26,SP,NL,West
Freddie Freeman,LAD,NL West,L,R,USA,35,1B,NL,West
Tyler Freeman,COL,NL West,R,R,USA,26,RF,NL,West
Sal Frelick,MIL,NL Central,L,R,USA,25,RF,NL,Central
Kyle Freeland,COL,NL West,L,L,USA,32,SP,NL,West
Freddy Peralta,MIL,NL Central,R,R,DOM,29,SP,NL,Central
Freddy Tarnok,MIA,NL East,R,R,USA,26,RP,NL,East
TJ Friedl,CIN,NL Central,L,L,USA,29,CF,NL,Central
Max Fried,NYY,AL East,L,L,USA,31,SP,AL,East
Kody Funderburk,MIN,AL Central,L,L,USA,28,RP,AL,Central
Gabriel Moreno,AZ,NL West,R,R,VEN,25,C,NL,West
Gabe Speier,SEA,AL West,L,L,USA,30,RP,AL,West
Hunter Gaddis,CLE,AL Central,R,R,USA,27,RP,AL,Central
Matt Gage,SF,NL West,L,L,USA,32,RP,NL,West
Zac Gallen,AZ,NL West,R,R,USA,29,SP,NL,West
Garrett Hampson,STL,NL Central,R,R,USA,30,2B,NL,Central
Mitch Garver,SEA,AL West,R,R,USA,34,C,AL,West
Luis García Jr.,WSH,NL East,L,R,USA,25,2B,NL,East
Luis García,LAA,AL West,R,R,DOM,38,RP,AL,West
Yimi García,TOR,AL East,R,R,DOM,34,RP,AL,East
Maikel Garcia,KC,AL Central,R,R,VEN,25,3B,AL,Central
Garrett Stubbs,PHI,NL East,L,R,USA,32,C,NL,East
Garrett Mitchell,MIL,NL Central,L,R,USA,26,CF,NL,Central
Reed Garrett,NYM,NL East,R,R,USA,32,RP,NL,East
Garrett Whitlock,BOS,AL East,R,R,USA,29,RP,AL,East
Robert Garcia,TEX,AL West,R,L,USA,29,RP,AL,West
Rico Garcia,NYM,NL East,R,R,USA,31,RP,NL,East
Justin Garza,NYM,NL East,R,R,USA,31,RP,NL,East
Jhostynxon Garcia,BOS,AL East,R,R,VEN,22,CF,AL,East
Mickey Gasper,MIN,AL Central,S,R,USA,29,2B,AL,Central
Robert Gasser,MIL,NL Central,L,L,USA,26,SP,NL,Central
Kevin Gausman,TOR,AL East,L,R,USA,34,SP,AL,East
Gavin Sheets,SD,NL West,L,L,USA,29,LF,NL,West
Gavin Lux,CIN,NL Central,L,R,USA,27,LF,NL,Central
Gavin Williams,CLE,AL Central,L,R,USA,26,SP,AL,Central
Gavin Hollowell,CHC,NL Central,R,R,USA,27,RP,NL,Central
Gavin Stone,LAD,NL West,R,R,USA,26,SP,NL,West
Zack Gelof,ATH,AL West,R,R,USA,25,2B,AL,West
George Springer,TOR,AL East,R,R,USA,35,RF,AL,East
George Kirby,SEA,AL West,R,R,USA,27,SP,AL,West
George Soriano,MIA,NL East,R,R,DOM,26,RP,NL,East
Geraldo Perdomo,AZ,NL West,S,R,DOM,25,SS,NL,West
Gerrit Cole,NYY,AL East,R,R,USA,34,SP,AL,East
Germán Márquez,COL,NL West,R,R,VEN,30,SP,NL,West
Joey Gerber,TB,AL East,R,R,USA,28,SP,AL,East
Paul Gervase,LAD,NL West,R,R,USA,25,RP,NL,West
Giancarlo Stanton,NYY,AL East,R,R,USA,35,DH,AL,East
Ian Gibaut,CIN,NL Central,R,R,USA,31,RP,NL,Central
Logan Gilbert,SEA,AL West,R,R,USA,28,SP,AL,West
Tyler Gilbert,CWS,AL Central,L,L,USA,31,RP,AL,Central
Luis Gil,NYY,AL East,R,R,DOM,27,SP,AL,East
Kevin Ginkel,AZ,NL West,L,R,USA,31,RP,NL,West
J.T. Ginn,ATH,AL West,R,R,USA,26,SP,AL,West
Gio Urshela,ATH,AL West,R,R,COL,33,3B,AL,West
Lucas Giolito,BOS,AL East,R,R,USA,31,SP,AL,East
Sawyer Gipson-Long,DET,AL Central,R,R,USA,27,SP,AL,Central
Tyler Glasnow,LAD,NL West,L,R,USA,31,SP,NL,West
Gleyber Torres,DET,AL Central,R,R,VEN,28,2B,AL,Central
Paul Goldschmidt,NYY,AL East,R,R,USA,37,1B,AL,East
Romy Gonzalez,BOS,AL East,R,R,USA,28,1B,AL,East
Nick Gonzales,PIT,NL Central,R,R,USA,26,2B,NL,Central
Tony Gonsolin,LAD,NL West,R,R,USA,31,SP,NL,West
Wikelman González,CWS,AL Central,R,R,VEN,23,RP,AL,Central
Hunter Goodman,COL,NL West,R,R,USA,25,C,NL,West
Nolan Gorman,STL,NL Central,L,R,USA,25,2B,NL,Central
MacKenzie Gore,WSH,NL East,L,L,USA,26,SP,NL,East
Gordon Graceffo,STL,NL Central,R,R,USA,25,RP,NL,Central
Tanner Gordon,COL,NL West,L,R,USA,27,SP,NL,West
Riley Greene,DET,AL Central,L,L,USA,24,LF,AL,Central
Gregory Soto,NYM,NL East,L,L,DOM,30,RP,NL,East
Greg Weissert,BOS,AL East,R,R,USA,30,RP,AL,East
Hunter Greene,CIN,NL Central,R,R,USA,25,SP,NL,Central
Gregory Santos,SEA,AL West,R,R,DOM,25,RP,AL,West
Randal Grichuk,KC,AL Central,R,R,USA,33,RF,AL,Central
Trent Grisham,NYY,AL East,L,L,USA,28,CF,AL,East
Griffin Jax,TB,AL East,R,R,USA,30,RP,AL,East
Vaughn Grissom,BOS,AL East,R,R,USA,24,2B,AL,East
Michael Grove,LAD,NL West,R,R,USA,28,SP,NL,West
Vladimir Guerrero Jr.,TOR,AL East,R,R,CAN,26,1B,AL,East
Sean Guenther,DET,AL Central,L,L,USA,29,RP,AL,Central
Luis Guerrero,BOS,AL East,R,R,DOM,24,RP,AL,East
Gunnar Henderson,BAL,AL East,L,R,USA,24,SS,AL,East
Gunnar Hoglund,ATH,AL West,L,R,USA,25,SP,AL,West
Lourdes Gurriel Jr.,AZ,NL West,R,R,CUB,31,LF,NL,West
Gus Varland,CWS,AL Central,L,R,USA,28,SP,AL,Central
Ryan Gusto,MIA,NL East,R,R,USA,26,SP,NL,East
Josh Hader,HOU,AL West,L,L,USA,31,RP,AL,West
Sam Haggerty,TEX,AL West,S,R,USA,31,CF,AL,West
Justin Hagenman,NYM,NL East,R,R,USA,28,RP,NL,East
Seth Halvorsen,COL,NL West,R,R,USA,25,RP,NL,West
Petey Halpin,CLE,AL Central,L,R,USA,23,CF,AL,Central
Maverick Handley,BAL,AL East,R,R,USA,27,C,AL,East
Ian Happ,CHC,NL Central,S,R,USA,30,LF,NL,Central
Michael Harris II,ATL,NL East,L,L,USA,24,CF,NL,East
Hunter Harvey,KC,AL Central,R,R,USA,30,RP,AL,Central
Hogan Harris,ATH,AL West,R,L,USA,28,RP,AL,West
Kyle Harrison,BOS,AL East,R,L,USA,23,SP,AL,East
Kyle Hart,SD,NL West,L,L,USA,32,SP,NL,West
Thomas Harrington,PIT,NL Central,R,R,USA,24,RP,NL,Central
Robert Hassell III,WSH,NL East,L,L,USA,23,CF,NL,East
Thomas Hatch,KC,AL Central,R,R,USA,30,RP,AL,Central
Ke'Bryan Hayes,CIN,NL Central,R,R,USA,28,3B,NL,Central
Hayden Wesneski,HOU,AL West,R,R,USA,27,SP,AL,West
Hayden Senger,NYM,NL East,R,R,USA,28,C,NL,East
Héctor Neris,HOU,AL West,R,R,DOM,36,RP,AL,West
Austin Hedges,CLE,AL Central,R,R,USA,32,C,AL,Central
Jonah Heim,TEX,AL West,S,R,USA,30,C,AL,West
Tyler Heineman,TOR,AL East,S,R,USA,34,C,AL,East
Ryan Helsley,NYM,NL East,R,R,USA,31,RP,NL,East
Heliot Ramos,SF,NL West,R,R,PRI,25,LF,NL,West
Michael Helman,TEX,AL West,R,R,USA,29,CF,AL,West
Kyle Hendricks,LAA,AL West,R,R,USA,35,SP,AL,West
Sam Hentges,CLE,AL Central,L,L,USA,29,SP,AL,Central
Ronny Henriquez,MIA,NL East,R,R,DOM,25,RP,NL,East
Tommy Henry,AZ,NL West,L,L,USA,28,RP,NL,West
Tink Hence,STL,NL Central,R,R,USA,22,SP,NL,Central
Logan Henderson,MIL,NL Central,R,R,USA,23,SP,NL,Central
Teoscar Hernández,LAD,NL West,R,R,DOM,32,RF,NL,West
Jose Herrera,AZ,NL West,S,R,VEN,28,C,NL,West
Jimmy Herget,COL,NL West,R,R,USA,31,RP,NL,West
Iván Herrera,STL,NL Central,R,R,PAN,25,C,NL,Central
Tim Herrin,CLE,AL Central,L,L,USA,28,RP,AL,Central
Heriberto Hernandez,MIA,NL East,R,R,DOM,25,LF,NL,East
Kevin Herget,NYM,NL East,L,R,USA,34,RP,NL,East
Nick Hernandez,HOU,AL West,R,R,USA,30,RP,AL,West
Heston Kjerstad,BAL,AL East,L,R,USA,26,LF,AL,East
Jordan Hicks,BOS,AL East,R,R,USA,28,RP,AL,East
Liam Hicks,MIA,NL East,L,R,CAN,26,C,NL,East
Tim Hill,NYY,AL East,R,L,USA,35,RP,AL,East
Jaden Hill,COL,NL West,R,R,USA,25,RP,NL,West
Rece Hinds,CIN,NL Central,R,R,USA,24,RF,NL,Central
Yaramil Hiraldo,BAL,AL East,R,R,DOM,29,RP,AL,East
Sean Hjelle,SF,NL West,R,R,USA,28,RP,NL,West
Hoby Milner,TEX,AL West,L,L,USA,34,RP,AL,West
Nico Hoerner,CHC,NL Central,R,R,USA,28,2B,NL,Central
Jeff Hoffman,TOR,AL East,R,R,USA,32,RP,AL,East
Nolan Hoffman,PHI,NL East,R,R,USA,27,SP,NL,East
Andrew Hoffmann,AZ,NL West,R,R,USA,25,RP,NL,West
Tyler Holton,DET,AL Central,L,L,USA,29,RP,AL,Central
Jackson Holliday,BAL,AL East,L,R,USA,21,2B,AL,East
Grant Holmes,ATL,NL East,L,R,USA,29,SP,NL,East
Grant Holman,ATH,AL West,R,R,USA,25,RP,AL,West
Spencer Horwitz,PIT,NL Central,L,R,USA,27,1B,NL,Central
Rhys Hoskins,MIL,NL Central,R,R,USA,32,1B,NL,Central
Adrian Houser,TB,AL East,R,R,USA,32,SP,AL,East
Tanner Houck,BOS,AL East,R,R,USA,29,SP,AL,East
Houston Roth,BAL,AL East,R,R,USA,27,SP,AL,East
Hunter Stratton,ATL,NL East,R,R,USA,28,RP,NL,East
Kyle Hurt,LAD,NL West,R,R,USA,27,SP,NL,West
Hurston Waldrep,ATL,NL East,R,R,USA,23,SP,NL,East
Hyeseong Kim,LAD,NL West,L,R,KOR,26,2B,NL,West
Ian Seymour,TB,AL East,L,L,USA,26,RP,AL,East
Jose Iglesias,SD,NL West,R,R,CUB,35,2B,NL,West
Raisel Iglesias,ATL,NL East,R,R,CUB,35,RP,NL,East
Ildemaro Vargas,AZ,NL West,S,R,VEN,34,2B,NL,West
Shota Imanaga,CHC,NL Central,L,L,JPN,31,SP,NL,Central
Jonathan India,KC,AL Central,R,R,USA,28,2B,AL,Central
Jairo Iriarte,CWS,AL Central,R,R,VEN,23,SP,AL,Central
Jake Irvin,WSH,NL East,R,R,USA,28,SP,NL,East
Isaac Paredes,HOU,AL West,R,R,MEX,26,3B,AL,West
Isaac Mattson,PIT,NL Central,R,R,USA,30,RP,NL,Central
Kyle Isbel,KC,AL Central,L,R,USA,28,CF,AL,Central
Isiah Kiner-Falefa,PIT,NL Central,R,R,USA,30,SS,NL,Central
Jack Suwinski,PIT,NL Central,L,L,USA,27,RF,NL,Central
Jacob Young,WSH,NL East,R,R,USA,26,CF,NL,East
