Name,Team,Division,Bats,Throws,Born,Age,Position,League,Div,xp
Victor Vodnik,COL,NL West,R,R,USA,25,RP,NL,West,32.259836674090565
Seth Halvorsen,COL,NL West,R,R,USA,25,RP,NL,West,32.259836674090565
Chris Roycroft,STL,NL Central,R,R,USA,28,RP,NL,Central,32.259836674090586
Will Klein,LAD,NL West,R,R,USA,25,RP,NL,West,32.26726057906458
Paul Gervase,LAD,NL West,R,R,USA,25,RP,NL,West,32.26726057906458
Jake Woodford,AZ,NL West,R,R,USA,28,RP,NL,West,32.286562731997044
Nick Mears,MIL,NL Central,R,R,USA,28,RP,NL,Central,32.30586488492948
Grant Anderson,MIL,NL Central,R,R,USA,28,RP,NL,Central,32.30586488492948
Travis Adams,MIN,AL Central,R,R,USA,25,RP,AL,Central,32.3192279138827
Andrew Hoffmann,AZ,NL West,R,R,USA,25,RP,NL,West,32.32071269487751
Bryan Hoeing,SD,NL West,R,R,USA,28,RP,NL,West,32.32368225686713
David Morgan,SD,NL West,R,R,USA,25,RP,NL,West,32.35040831477358
Jordan Hicks,BOS,AL East,R,R,USA,28,RP,AL,East,32.37268002969562
Owen White,CWS,AL Central,R,R,USA,25,RP,AL,Central,32.402375649591704
Nick Sandlin,TOR,AL East,R,R,USA,28,RP,AL,East,32.449888641425396
Brady Basso,ATH,AL West,R,L,USA,27,SP,AL,West,32.57015590200446
Hayden Wesneski,HOU,AL West,R,R,USA,27,SP,AL,West,32.57312546399407
George Kirby,SEA,AL West,R,R,USA,27,SP,AL,West,32.651818856718634
Sam Benschoter,CIN,NL Central,R,R,USA,27,SP,NL,Central,33.0913140311804
Carson Spiers,CIN,NL Central,R,R,USA,27,SP,NL,Central,33.0913140311804
Brandon Williamson,CIN,NL Central,R,L,USA,27,SP,NL,Central,33.10319227913884
Declan Cronin,MIA,NL East,R,R,USA,27,SP,NL,East,33.23830734966591
Josiah Gray,WSH,NL East,R,R,USA,27,SP,NL,East,33.247216035634736
Braxton Garrett,MIA,NL East,R,L,USA,27,SP,NL,East,33.254639940608755
Matt Manning,PHI,NL East,R,R,USA,27,SP,NL,East,33.268002969561984
Nolan Hoffman,PHI,NL East,R,R,USA,27,SP,NL,East,33.268002969561984
Alek Manoah,TOR,AL East,R,R,USA,27,SP,AL,East,33.279881217520426
Reid Detmers,LAA,AL West,L,L,USA,26,RP,AL,West,33.28582034149958
Dustin May,BOS,AL East,R,R,USA,27,SP,AL,East,33.28730512249444
Ryan Pepiot,TB,AL East,R,R,USA,27,SP,AL,East,33.32442464736454
Shane Baz,TB,AL East,R,R,USA,26,SP,AL,East,33.327394209354125
Will Warren,NYY,AL East,R,R,USA,26,SP,AL,East,33.358574610244986
J.T. Ginn,ATH,AL West,R,R,USA,26,SP,AL,West,33.37045285820342
Houston Roth,BAL,AL East,R,R,USA,27,SP,AL,East,33.377876763177454
Hunter Brown,HOU,AL West,R,R,USA,26,SP,AL,West,33.416481069042334
Brandon Young,BAL,AL East,R,R,USA,26,SP,AL,East,33.42093541202672
Ryne Nelson,AZ,NL West,R,R,USA,27,SP,NL,West,33.437268002969574
Emerson Hancock,SEA,AL West,R,R,USA,26,SP,AL,West,33.43875278396437
Bryce Miller,SEA,AL West,R,R,USA,26,SP,AL,West,33.43875278396437
Kyle Hurt,LAD,NL West,R,R,USA,27,SP,NL,West,33.47884187082405
Dylan Dodd,ATL,NL East,L,L,USA,27,RP,NL,East,33.55159613956938
Keaton Winn,SF,NL West,R,R,USA,27,SP,NL,West,33.561989606533054
