Name,Team,Division,Bats,Throws,Born,Age,Position,League,Div,xp
Francisco Alvarez,NYM,NL East,R,R,VEN,23,C,NL,East,102.13956941351154
Nacho Alvarez Jr.,ATL,NL East,R,R,USA,22,SS,NL,East,93.29175946547883
Elvis Alvarado,ATH,AL West,R,R,DOM,26,RP,AL,West,42.662212323682276
Miguel Amaya,CHC,NL Central,R,R,PAN,26,C,NL,Central,81.87379361544174
Amed Rosario,NYY,AL East,R,R,DOM,29,3B,AL,East,73.92130660727547
Andrew Benintendi,CWS,AL Central,L,L,USA,31,LF,AL,Central,71.85003711952496
Andrés Giménez,TOR,AL East,L,R,VEN,26,2B,AL,East,79.67483296213805
Andrew Vaughn,MIL,NL Central,R,R,USA,27,1B,NL,Central,50.565701559020056
Andrew Chafin,LAA,AL West,R,L,USA,35,RP,AL,West,59.98515219005199
Miguel Andujar,CIN,NL Central,R,R,DOM,30,LF,NL,Central,81.13585746102456
Andy Ibáñez,DET,AL Central,R,R,CUB,32,3B,AL,Central,114.5850037119525
Andrew Knizner,SF,NL West,R,R,USA,30,C,NL,West,56.82702301410542
Andrew Kittredge,CHC,NL Central,R,R,USA,35,RP,NL,Central,59.5486265775798
Andy Pages,LAD,NL West,R,R,CUB,24,CF,NL,West,98.77357089829252
Tyler Anderson,LAA,AL West,L,L,USA,35,SP,AL,West,68.49443207126953
Andrew Heaney,PIT,NL Central,L,L,USA,34,SP,NL,Central,62.08611729769858
Andrés Muñoz,SEA,AL West,R,R,MEX,26,RP,AL,West,51.70007423904974
Andruw Monasterio,MIL,NL Central,R,R,VEN,28,SS,NL,Central,75.71789161098738
Nick Anderson,COL,NL West,R,R,USA,35,RP,NL,West,59.84706755753525
Andre Pallante,STL,NL Central,R,R,USA,26,SP,NL,Central,33.63622865627322
Andrew Nardi,MIA,NL East,L,L,USA,26,SP,NL,East,37.27097253155165
Grant Anderson,MIL,NL Central,R,R,USA,28,RP,NL,Central,32.30586488492948
Andrés Chaparro,WSH,NL East,R,R,VEN,26,1B,NL,East,74.36822568671121
Andrew Saalfrank,AZ,NL West,L,L,USA,27,RP,NL,West,34.21232368225688
Andrew Walters,CLE,AL Central,R,R,USA,24,RP,AL,Central,37.79064587973277
Andre Granillo,STL,NL Central,R,R,USA,25,RP,NL,Central,32.097995545657014
Angel Martínez,CLE,AL Central,S,R,DOM,23,CF,AL,Central,136.46473645137348
Angel Zerpa,KC,AL Central,L,L,VEN,25,RP,AL,Central,53.06458797327398
Angel Chivilli,COL,NL West,R,R,DOM,23,RP,NL,West,59.32590942835933
