Name,possible_num_remaining_players
Austin Wynns,[35 57 18 ... 80 80 85]
Austin Wells,[ 15  42 136 ...  26  26  26]
Austin Gomber,[42  9 14 ...  4  9 13]
Austin Martin,[147  29  79 ...  21   5   2]
Austin Warren,[101   9  26 ...  29  20  41]
Austin Cox,[88  2 23 ... 23  6 33]
Luinder Avila,[225  45  55 ...   4  45  19]
Lake Bachar,[112   6  21 ...  29  21  53]
Sam Bachman,[95 18 64 ... 18 31 39]
Kyle Backhus,[52 23 99 ...  2  4 10]
Harrison Bader,[70  5  5 ... 59 59 67]
Javier Báez,[86 16 16 ... 48  7  5]
Ji Hwan Bae,[159  50 210 ...  47   6   5]
Henry Baez,[221  44  45 ...   4  70  18]
Patrick Bailey,[116  58 158 ...  12  12  11]
Bailey Falter,[107  19  21 ...  12   5  29]
Bailey Ober,[114  19  18 ...  11  19  35]
Bailey Horn,[99 12 54 ... 21 13 21]
Bryan Baker,[26 16 55 ... 23 13 31]
Luken Baker,[ 95  41 125 ...  41  10  43]
Darren Baker,[139  12  39 ...  41  41  40]
Drake Baldwin,[180   6  50 ...   6  68   4]
Brooks Baldwin,[226  49 138 ...   7  49  13]
Moisés Ballesteros,[251 105 344 ... 105 105  73]
Anthony Banda,[36  7 40 ...  6  6 10]
Tanner Banks,[ 4  5  5 ... 44 44 70]
Scott Barlow,[25 12  9 ... 41 41 64]
Joey Bart,[ 94  42 121 ...  42  10  41]
Jorge Barrosa,[214  91 261 ...   2   8   8]
Chris Bassitt,[46 63 79 ... 17 45 47]
Brady Basso,[86 22 25 ... 12 27 40]
Brett Baty,[157   7  32 ...  29  55  32]
Jake Bauers,[ 91  44 161 ...  37  44  35]
Félix Bautista,[34 18 67 ... 25 15 42]
Eduard Bazardo,[144  21  94 ...  29  23  60]
Shane Baz,[32 33 39 ...  7 19 27]
Jordan Beck,[136  63 171 ...   3  21   2]
Tristan Beck,[ 65  24 117 ...  10   4   4]
David Bednar,[ 7 16 60 ... 22 13 28]
Jalen Beeks,[23 17 11 ...  6  6 14]
Clayton Beeter,[86  7 23 ... 21 21 39]
Josh Bell,[ 76  11   9 ...  70  70 252]
Cody Bellinger,[ 8 25 92 ... 34 22 33]
Brayan Bello,[36 39 49 ...  7 20 36]
Valente Bellozo,[137  10  42 ...  23  35  48]
Will Benson,[ 96  39 122 ...  39  30  34]
Anthony Bender,[112   6  21 ...  29  21  53]
Ben Rice,[ 14  38 142 ...  26  26  26]
Ben Lively,[ 4 11  9 ... 13 34 37]
Bennett Sousa,[121  11  43 ...  27  21  49]
Ben Williamson,[186  45 112 ...   5  72   6]
Ben Bowden,[121  11  43 ...  27  21  49]
Ben Joyce,[115  25  70 ...   5  39   8]
Ben Casparius,[60 23 94 ...  6  6  7]
Ben Brown,[86 40 44 ... 10 40 35]
Ben Cowles,[107  52 145 ...  38  52  36]
Sam Benschoter,[73 31 36 ... 12 21 41]
Jon Berti,[ 18  90 232 ...  90  90  77]
José Berríos,[29 10 26 ... 13 34 62]
Brennan Bernardino,[ 1 12 37 ... 30 30 31]
Steward Berroa,[ 12  57 208 ...  53  53 166]
Prelander Berroa,[159  30  34 ...   9  30  27]
Warming Bernabel,[183  91 248 ...   7  27   6]
Ryan Bergert,[126  26  25 ...   7  26  22]
Mookie Betts,[44 27 15 ... 15 15 17]
Tanner Bibee,[112  22  21 ...   6  20  21]
Bo Bichette,[ 30  42 128 ...  34  25  24]
Osvaldo Bido,[141  28  42 ...  20  37  58]
Shane Bieber,[21 23 23 ... 13 17 35]
Hunter Bigge,[23 20 83 ... 22 15 21]
Billy Cook,[101  41 123 ...  40   6   5]
Jake Bird,[  8  28 113 ...  24  12  25]
Hayden Birdsong,[ 96  38 128 ...   4  13   2]
Spencer Bivens,[34  7 35 ...  8  8  4]
JJ Bleday,[127  23  88 ...  35   4   5]
Scott Blewett,[ 21  28 113 ...  24  12  25]
Ryan Bliss,[155  32 102 ...  31  54  42]
Jake Bloss,[43 57 47 ...  3 34  2]
Bobby Witt Jr.,[159  36  94 ...  23  36  22]
Bobby Miller,[69 34 35 ...  3  8  8]
Xander Bogaerts,[58 31 19 ... 21 21 22]
Bo Naylor,[232  45 145 ...  30  45  20]
Cam Booser,[ 3  9 22 ... 29 29 29]
Ryan Borucki,[30  7 50 ... 37 37 50]
Sean Bouchard,[  5  44 153 ...  13  11  13]
Caleb Boushley,[48  6 26 ... 35 35 69]
Bowden Francis,[15 45 55 ... 15 20 24]
Jonathan Bowlan,[105  12  48 ...  19   4  28]
Matthew Boyd,[19 63  9 ... 20 63 56]
Joe Boyle,[35 41 41 ...  7 27 21]
Brandon Lowe,[26 10 71 ... 38 38 35]
Brandon Marsh,[132   9   8 ...  38   5   4]
Ryan Brasier,[115  40 174 ...  54  54  77]
Brayan Rocchio,[291  61 178 ...   8  61  16]
Brad Keller,[79 18 55 ... 34 18 52]
Huascar Brazobán,[19 11 54 ... 58 58 98]
Brady Singer,[73 26 42 ... 16  9 44]
Brandon Woodruff,[42 20  5 ... 20 46 46]
Matt Brash,[125  16  87 ...  29  24  51]
Brandon Lockridge,[ 95  39 125 ...  39  10  42]
Braden Shewmake,[ 13  42 135 ...  34  24  20]
Brandon Pfaadt,[66 34 35 ...  1  7  8]
Taj Bradley,[148  35  32 ...   3  35   6]
Braxton Garrett,[92 11 11 ... 16 30 33]
Brady House,[233  22  65 ...   7  89  11]
Brandon Eisert,[99 12 54 ... 21 13 21]
Kyle Bradish,[21 28 47 ... 14  5 23]
Brant Hurter,[103  13  56 ...  14  14  17]
Cody Bradford,[92 22 25 ... 12 24 34]
Braxton Fulford,[ 96  46 131 ...  12  12   8]
Brad Lord,[115  12  11 ...   9  38  35]
Brandon Waddell,[47  2 13 ... 31 31 54]
Brandon Williamson,[73 31 36 ... 12 21 41]
Braydon Fisher,[28 27 99 ... 16 23 19]
Brandon Walter,[92 19 30 ... 17 10 36]
Bradley Blalock,[95 51 36 ...  2 17  2]
Brandyn Garcia,[ 72  28 106 ...   2   3   8]
Brandon Young,[33 33 39 ...  7 19 27]
Brendan Rodgers,[122  27  86 ...  38  14  41]
Brent Rooker,[ 8 18 61 ... 44 37 61]
Brendan Donovan,[147  52 224 ...  52  11  41]
Brenton Doyle,[ 82  41 135 ...  15   2   3]
Brent Suter,[ 13  39 175 ...  50  50  62]
Will Brennan,[11 32 80 ... 32 18 22]
Brett Wisely,[101  46 141 ...  11  11   2]
Brendon Little,[ 21  14 106 ...  19   2  21]
Brenan Hanifee,[93 12 49 ... 21 14 26]
Brett de Geus,[83  6  6 ... 25 25 33]
Brewer Hicklen,[140  15  10 ...  44   4   4]
Brett Harris,[121  29  80 ...  36  40  36]
Brent Headrick,[ 8 20 90 ... 22 13 16]
Brice Turang,[116  52 151 ...  37  52  26]
Beau Brieske,[93 12 49 ... 21 14 26]
Jeff Brigham,[ 4 14 37 ...  6  6 19]
Jhony Brito,[75 42 42 ...  9  8 13]
Juan Brito,[307  68 218 ...  14  68  48]
Brice Matthews,[218  55 138 ...  16  79  22]
Brian Van Belle,[23 28 47 ... 14  5 23]
Brock Burke,[84 13 68 ... 25  7 36]
Connor Brogdon,[112  11  39 ...  29  22  58]
Brooks Lee,[221  53 136 ...   7  53  13]
Brock Stewart,[ 4 14 39 ... 12 12 11]
Hunter Brown,[96 21 27 ... 15 33 44]
Trenton Brooks,[106  23  92 ...  12  13  14]
Brooks Kriske,[27  7 46 ... 38 38 60]
Vidal Bruján,[139  58 203 ...  58  44 203]
