,Rank,Name,Skill Score,Expected Possible Players Remaining
0,1,Ryan Zeferjahn,99.9,30.622123
1,2,Mitch Spence,99.8,30.67706
2,2,Anthony Maldonado,99.8,30.67706
3,4,Logan VanWey,99.7,30.688938
4,5,Jonathan Pintaro,99.6,30.721604
5,6,Nathan Wiles,99.6,30.731997
6,7,Kyle Nicolas,99.4,30.764662
7,7,Carmen Mlodzinski,99.4,30.764662
8,9,Matt Svanson,99.3,30.77951
9,10,Beau Brieske,99.2,30.843356
10,10,Brenan Hanifee,99.2,30.843356
11,12,Tyler Phillips,99.1,30.871566
12,13,Mason Thompson,99.0,30.893838
13,14,Brett de Geus,99.0,30.920564
14,15,Freddy Tarnok,98.9,30.98144
15,16,Max Lazar,98.7,30.990349
16,16,Michael Mercado,98.7,30.990349
17,16,Seth Johnson,98.7,30.990349
18,19,Chase Lee,98.6,31.005197
19,20,Gavin Hollowell,98.5,31.024499
25,21,Michael Darrell-Hicks,98.1,31.080921
24,21,Jackson Rutledge,98.1,31.080921
23,21,Cole Henry,98.1,31.080921
20,21,Zach Brzykcy,98.1,31.080921
21,21,Ryan Loutos,98.1,31.080921
22,21,Clayton Beeter,98.1,31.080921
26,27,Ryan Fernandez,98.0,31.094284
27,28,Easton McGee,97.9,31.12101
28,29,Aaron Ashby,97.8,31.138827
29,30,Zak Kent,97.7,31.161099
30,30,Hunter Gaddis,97.7,31.161099
31,32,Jordan Leasure,97.6,31.196733
33,33,Justin Slaten,97.5,31.22049
32,33,Josh Winckowski,97.5,31.22049
34,35,Eric Orze,97.3,31.268003
35,35,Kevin Kelly,97.3,31.268003
36,35,Hunter Bigge,97.3,31.268003
37,38,Kade Strowd,97.1,31.275427
38,38,Colin Selby,97.1,31.275427
39,40,Drey Jameson,97.0,31.28879
40,41,Carson Seymour,97.0,31.314031
42,42,Ben Casparius,96.8,31.325909
41,42,Matt Sauer,96.8,31.325909
43,44,Jack Dreyer,96.7,31.340757
44,45,Mason Miller,96.7,31.364514
45,46,Hunter Stratton,96.6,31.708983
46,47,Bryan King,96.5,31.738679
47,48,Hogan Harris,96.4,31.744618
48,49,Justin Sterner,96.4,31.749072
51,50,Justin Hagenman,96.1,31.762435
52,50,Max Kranick,96.1,31.762435
49,50,Ty Adcock,96.1,31.762435
50,50,Alex Carrillo,96.1,31.762435
53,54,Casey Legumina,95.9,31.821826
54,54,Jackson Kowar,95.9,31.821826
55,56,Jonathan Bowlan,95.8,31.860431
56,57,Braydon Fisher,95.8,31.861915
57,58,Cole Sands,95.6,31.93467
58,58,Noah Davis,95.6,31.93467
59,60,Cole Winn,95.5,31.942094
60,61,Nic Enright,95.5,32.005939
61,62,Sam Bachman,95.4,32.043059
63,63,Grant Holman,95.2,32.047513
62,63,Jack Perkins,95.2,32.047513
64,65,Craig Yoho,95.2,32.083148
65,66,Andre Granillo,95.0,32.097996
66,66,Gordon Graceffo,95.0,32.097996
67,68,Dylan Smith,95.0,32.16778
68,69,Tony Santillan,94.9,32.175204
69,70,Ethan Roberts,94.7,32.203415
70,70,Nate Pearson,94.7,32.203415
71,72,Sean Hjelle,94.7,32.233111
